Año,Trimestre,Provincia,Mbps (Media de bajada),Tasa de Crecimiento
2019,4,Mendoza,7.79,1.27
2019,4,Misiones,20.31,1.13
2019,4,Neuquén,26.02,1.1
2019,4,Río Negro,17.19,1.08
2019,4,Salta,19.08,1.29
2019,4,San Juan,6.04,1.0
2019,4,San Luis,20.69,1.05
2019,4,Santa Cruz,5.21,1.04
2019,4,Santa Fe,20.55,1.13
2019,4,Santiago Del Estero,9.79,1.04
2019,4,Tierra Del Fuego,7.27,1.09
2019,4,Tucumán,29.88,1.55
2020,1,Buenos Aires,45.2,1.47
2020,1,Capital Federal,58.72,1.33
2020,1,Catamarca,29.12,1.17
2020,1,Chaco,25.94,1.11
2020,1,Chubut,7.12,1.02
2020,1,Córdoba,29.39,1.12
2020,1,Corrientes,20.55,1.07
2020,1,Entre Ríos,19.03,1.12
2020,1,Formosa,15.7,1.08
2020,1,Jujuy,14.14,1.09
2020,1,La Pampa,7.29,1.12
2020,1,La Rioja,7.96,1.0
2020,1,Mendoza,8.44,1.08
2020,1,Misiones,22.16,1.09
2020,1,Neuquén,27.77,1.07
2020,1,Río Negro,19.06,1.11
2020,1,Salta,21.44,1.12
2020,1,San Juan,6.04,1.0
2020,1,San Luis,20.98,1.01
2020,1,Santa Cruz,6.42,1.23
2020,1,Santa Fe,22.42,1.09
2020,1,Santiago Del Estero,10.0,1.02
2020,1,Tierra Del Fuego,7.41,1.02
2020,1,Tucumán,32.25,1.08
2020,2,Buenos Aires,45.66,1.01
2020,2,Capital Federal,60.47,1.03
2020,2,Catamarca,34.94,1.2
2020,2,Chaco,27.95,1.08
2020,2,Chubut,7.61,1.07
2020,2,Córdoba,30.98,1.05
2020,2,Corrientes,22.16,1.08
2020,2,Entre Ríos,20.45,1.07
2020,2,Formosa,16.88,1.07
2020,2,Jujuy,15.86,1.12
2020,2,La Pampa,8.03,1.1
2020,2,La Rioja,11.67,1.47
2020,2,Mendoza,9.27,1.1
2020,2,Misiones,22.56,1.02
2020,2,Neuquén,29.1,1.05
2020,2,Río Negro,19.69,1.03
2020,2,Salta,22.56,1.05
