Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
SANTA FE,San Jerónimo,Puerto Aragón,213,0,0,0,0,0,0,0,0,0,82105210.0,-32.2447218281238,-60.9239839784214
SANTA FE,San Jerónimo,San Eugenio,79,0,1,0,0,0,0,0,0,1,82105220.0,-32.0768953861827,-61.1174234926527
SANTA FE,San Jerónimo,San Fabián,820,1,1,0,0,0,1,1,0,0,82105230.0,-32.1383718722873,-60.9832660246346
SANTA FE,San Jerónimo,San Genaro,4070,1,0,0,1,0,1,1,1,1,82105240.0,-32.3735383941398,-61.3606569211003
SANTA FE,San Jerónimo,San Genaro Norte,4661,1,1,0,1,0,1,1,0,1,82105250.0,-32.3658073636946,-61.3401798286706
SANTA FE,San Justo,Angeloni,62,0,0,0,0,0,1,0,0,0,82112010.0,-30.8575177090903,-60.6486098681792
SANTA FE,San Justo,Cayastacito,329,0,0,0,0,0,1,1,0,0,82112020.0,-31.1150071573313,-60.5814003944463
SANTA FE,San Justo,Colonia Dolores,502,0,0,0,0,0,1,0,0,1,82112030.0,-30.3836825866932,-60.3307254883154
SANTA FE,San Justo,Esther,41,0,0,0,0,0,1,0,0,0,82112040.0,-31.0434861128335,-60.6448661369776
SANTA FE,San Justo,Gobernador Crespo,5335,1,1,0,0,0,1,1,1,1,82112050.0,-30.3648346894928,-60.4011684048308
SANTA FE,San Justo,La Criolla (Est. Cañadita),1963,1,1,0,0,0,1,1,0,1,82112060.0,-30.2261579523496,-60.3664968225823
SANTA FE,San Justo,La Penca y Caraguatá,141,0,0,0,0,0,1,1,0,0,82112070.0,-30.3484964424709,-60.5217853393141
SANTA FE,San Justo,Marcelino Escalada,1646,1,1,0,0,0,1,1,1,1,82112080.0,-30.5819493055119,-60.4693860436357
SANTA FE,San Justo,Naré,341,0,0,0,0,0,1,1,0,0,82112090.0,-30.951076187335,-60.4682102211441
SANTA FE,San Justo,Pedro Gómez Cello,554,0,0,0,0,0,1,1,0,1,82112100.0,-30.0384743425904,-60.3152431288441
SANTA FE,San Justo,Ramayón,550,0,0,0,0,0,1,1,0,0,82112110.0,-30.6758153384973,-60.4995553794067
SANTA FE,San Justo,San Bernardo,27,0,0,0,0,0,1,0,0,0,82112120.0,-30.8905395009228,-60.5751464890853
SANTA FE,San Justo,San Justo,21624,1,0,0,1,0,1,1,1,1,82112130.0,-30.7908665162845,-60.5940368250334
SANTA FE,San Justo,San Martín Norte,563,0,0,0,0,0,1,1,0,1,82112140.0,-30.3493004076432,-60.3040548934806
SANTA FE,San Justo,Silva (Est. Abipones),360,0,0,0,0,0,1,0,0,0,82112150.0,-30.4486399849806,-60.430070013139
SANTA FE,San Justo,Vera y Pintado (Est. Guaraníes),997,1,0,0,1,0,1,1,0,1,82112160.0,-30.1436425790617,-60.3373530550458
SANTA FE,San Justo,Videla,2027,1,0,0,1,0,1,1,0,1,82112170.0,-30.9465032627862,-60.6564412400796
SANTA FE,San Lorenzo,Aldao,587,0,1,0,0,0,0,1,0,1,82119010.0,-32.7069853236032,-60.8179518202362
SANTIAGO DEL ESTERO,Río Hondo,La Nueva Donosa,372,0,0,0,0,0,0,0,1,1,86147060.0,-27.4929236299126,-64.8767418087564
SANTIAGO DEL ESTERO,Río Hondo,Los Miranda,86,0,0,0,0,0,0,0,0,0,86147070.0,-27.5083733738626,-64.5649190077259
SANTIAGO DEL ESTERO,Río Hondo,Los Núñez,573,0,0,0,1,0,0,0,0,1,86147080.0,-27.5356,-64.5275
SANTIAGO DEL ESTERO,Río Hondo,Mansupa,330,0,0,0,0,0,0,0,1,1,86147090.0,-27.4976599537674,-64.855588327279
SANTIAGO DEL ESTERO,Río Hondo,Pozuelos,689,0,0,0,1,1,0,0,0,0,86147100.0,-27.3436338395462,-64.7026752507441
SANTIAGO DEL ESTERO,Río Hondo,Rodeo de Valdez,84,0,0,0,0,0,0,0,0,0,86147110.0,-27.5356,-64.5275
SANTIAGO DEL ESTERO,Río Hondo,Sauzal,224,0,0,0,0,0,0,0,0,0,86147120.0,-27.5280897695425,-64.5503115283226
SANTIAGO DEL ESTERO,Río Hondo,Termas de Río Hondo,32166,1,0,0,1,1,1,1,1,1,86147130.0,-27.4969,-64.86360123
SANTIAGO DEL ESTERO,Río Hondo,Villa Giménez,163,0,0,0,0,0,0,0,0,0,86147140.0,-27.6113684478077,-64.4241383951333
SANTIAGO DEL ESTERO,Río Hondo,Villa Río Hondo,705,0,0,0,0,0,0,0,1,1,86147150.0,-27.634837302922,-64.8202799876287
