Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total
2020,1,Formosa,1127,342,23761,6500,6564,964,6918,46276
2020,1,Jujuy,55,182,33120,9979,26693,166,7349,94089
2020,1,La Pampa,293,811,72740,7199,3029,1342,2113,89145
2020,1,La Rioja,21,1,37209,5158,4640,22,1294,48345
2020,1,Mendoza,58,40,140410,12285,17489,2860,3818,176960
2020,1,Misiones,71,524,36622,21271,26433,11581,26313,133700
2020,1,Neuquén,218,327,60152,5257,7123,5399,43738,122214
2020,1,Río Negro,114,466,69154,2930,7857,3199,25488,126927
2020,1,Salta,129,514,38537,63714,17991,8625,34744,170695
2020,1,San Juan,48,194,59787,1594,1292,40,127,67861
2020,1,San Luis,105,0,11322,4164,525,58258,5,110454
2020,1,Santa Cruz,67,11,27447,4993,5169,529,119,38335
2020,1,Santa Fe,696,2994,217553,196826,104560,48448,173823,762556
2020,1,Santiago Del Estero,133,1779,33086,56884,3737,135,2799,103054
2020,1,Tierra Del Fuego,11,1,22976,5024,1834,196,518,37606
2020,1,Tucumán,52,97,49555,50383,31096,1730,67536,200449
2019,4,Buenos Aires,33489,27537,1177446,262297,247106,452570,1465133,3686254
2019,4,Capital Federal,307,15,177098,110218,110852,205810,753805,1358105
2019,4,Catamarca,63,0,9945,7619,9305,804,7477,38311
2019,4,Chaco,83,0,25899,18959,30902,13516,21556,117903
2019,4,Chubut,158,4,69405,12945,7615,1240,614,96102
2019,4,Córdoba,142,0,232781,118232,109330,114111,221742,806688
2019,4,Corrientes,72,0,35055,20620,27367,9981,15744,113834
2019,4,Entre Ríos,47,0,88203,44511,42962,18976,30153,239030
2019,4,Formosa,1127,191,24606,6319,6788,1766,5671,46711
2019,4,Jujuy,55,0,32920,9632,26764,102,5286,88881
2019,4,La Pampa,293,313,76747,6900,1951,1287,1342,90399
2019,4,La Rioja,21,0,37846,5045,4763,22,1305,49002
2019,4,Mendoza,746,9,145139,12955,15237,2165,2628,185780
2019,4,Misiones,71,0,39664,20840,27305,15626,20799,135813
2019,4,Neuquén,218,1,57370,4439,7357,12059,35001,116445
2019,4,Río Negro,114,0,71847,2797,8558,6968,19837,127140
