Provincia,Año,Trimestre,ADSL,Cablemodem,Fibra optica,Wireless,Total Tecnologia,Mbps (Media de bajada),Tasa de crecimiento Velocidad,Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos
Capital Federal,2015,3,33.459993525984345,64.09731622623742,2.2787063739626863,0.1639838738155494,1359280,5.66,1.07,118.29,3.945518453427077,5153738.88,561.76,30.760457158818454
Catamarca,2015,3,99.00993898461185,0.9286618826509077,0.057561686941171954,0.0038374457960781306,26059,3.88,1.05,25.86,4.653986240388508,5153738.88,561.76,30.760457158818454
Chaco,2015,3,65.9588182212378,33.762261364834934,0.2179798192876982,0.06094059463957154,85329,5.47,1.05,27.96,32.449076267171975,5153738.88,561.76,30.760457158818454
Chubut,2015,3,74.41435341909276,1.3405551794177386,1.5504400812457684,22.694651320243736,59080,3.28,1.02,36.81,-9.334975369458121,5153738.88,561.76,30.760457158818454
Córdoba,2015,3,56.486815963148615,42.411047704096795,0.23289094760917364,0.8692453851454124,622609,4.87,1.07,57.08,5.255393693527566,5153738.88,561.76,30.760457158818454
Corrientes,2015,3,65.70567175428678,32.50895044281138,0.2072734124740908,1.578104390427737,84912,5.06,1.04,30.17,32.38262395787628,5153738.88,561.76,30.760457158818454
Entre Ríos,2015,3,66.13503486475032,30.15902506430093,0.07083263178062786,3.6351074391681233,172237,4.77,1.05,43.68,24.871355060034304,5153738.88,561.76,30.760457158818454
Formosa,2015,3,77.77417261518494,18.97757588867258,0.007210325185665873,3.2410411709568097,27738,4.17,1.11,18.84,6.021384355655601,5153738.88,561.76,30.760457158818454
Jujuy,2015,3,82.49525496646844,17.44906997342781,0.05567506010375806,0.0,39515,3.53,1.04,21.27,15.786608600979847,5153738.88,561.76,30.760457158818454
La Pampa,2015,3,19.649074159657392,64.52537203068675,6.282157932033152,9.543395877622702,64914,2.91,1.02,57.96,3.9082108282538552,5153738.88,561.76,30.760457158818454
La Rioja,2015,3,99.89249238487726,0.0,0.09556232455354476,0.011945290569193094,16743,4.25,1.06,17.15,3.8764385221077946,5153738.88,561.76,30.760457158818454
Mendoza,2015,3,90.74007209532209,7.712660483121526,1.522406965662975,0.024860455893407837,168943,3.5,1.0,32.49,0.557103064066844,5153738.88,561.76,30.760457158818454
Misiones,2015,3,65.41094021199252,34.53338718656872,0.050214503258484616,0.005458098180270067,91607,5.63,1.06,28.31,20.11030971574035,5153738.88,561.76,30.760457158818454
Neuquén,2015,3,48.152691733627755,37.43687255924267,1.0683105358931895,13.342125171236377,97818,4.23,1.04,54.6,-3.1914893617021267,5153738.88,561.76,30.760457158818454
Río Negro,2015,3,67.98347376562054,27.608173566165995,0.9331623722880286,3.475190295925428,98268,3.74,1.02,46.39,0.41125541125539566,5153738.88,561.76,30.760457158818454
Salta,2015,3,78.12024657753582,21.703626611160036,0.047033864382355295,0.1290929469217837,99928,4.42,1.05,31.18,6.707734428473655,5153738.88,561.76,30.760457158818454
San Juan,2015,3,95.2036305308869,0.8822033566761863,1.5062008528617816,2.407965259575134,51122,3.48,1.0,27.67,-0.6463195691202905,5153738.88,561.76,30.760457158818454
San Luis,2015,3,89.02040180657218,7.981622800186887,2.7565799719669832,0.24139542127394487,12842,3.5,1.0,9.71,0.0,5153738.88,561.76,30.760457158818454
Santa Cruz,2015,3,65.07537688442211,11.381909547738694,1.6582914572864322,21.884422110552766,23880,3.48,1.0,27.61,-2.1962451292950824,5153738.88,561.76,30.760457158818454
